Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name
SID20131754,Sem_1,82.0,84.0,57.0,41.0,98.0,59.0,83.0,72.0,504,IDEPT7783,CDEEP
SID20131754,Sem_2,76.0,83.0,40.0,85.0,64.0,40.0,44.0,61.71428571,432,IDEPT7783,CDEEP
SID20131754,Sem_3,,79.0,64.0,100.0,85.0,57.0,85.0,78.33333333,470,IDEPT7783,CDEEP
SID20131754,Sem_4,86.0,74.0,64.0,50.0,98.0,80.0,88.0,77.14285714,540,IDEPT7783,CDEEP
SID20131754,Sem_5,66.0,77.0,21.0,49.0,51.0,84.0,76.0,60.57142857,424,IDEPT7783,CDEEP
SID20131754,Sem_6,97.0,67.0,83.0,88.0,66.0,95.0,46.0,77.42857143,542,IDEPT7783,CDEEP
SID20131754,Sem_7,75.0,62.0,75.0,46.0,99.0,50.0,68.0,67.85714286,475,IDEPT7783,CDEEP
SID20131754,Sem_8,79.0,56.0,91.0,97.0,80.0,67.0,73.0,77.57142857,543,IDEPT7783,CDEEP
SID20132704,Sem_1,69.0,55.0,42.0,60.0,82.0,70.0,72.0,64.28571429,450,IDEPT7783,CDEEP
SID20132704,Sem_2,95.0,52.0,77.0,74.0,79.0,85.0,57.0,74.14285714,519,IDEPT7783,CDEEP
SID20132704,Sem_3,97.0,50.0,67.0,91.0,90.0,91.0,51.0,76.71428571,537,IDEPT7783,CDEEP
SID20132704,Sem_4,85.0,90.0,96.0,,41.0,94.0,42.0,74.66666667,448,IDEPT7783,CDEEP
SID20132704,Sem_5,57.0,47.0,87.0,81.0,93.0,46.0,65.0,68.0,476,IDEPT7783,CDEEP
SID20132704,Sem_6,77.0,55.0,58.0,83.0,56.0,79.0,56.0,66.28571429,464,IDEPT7783,CDEEP
SID20132704,Sem_7,85.0,90.0,72.0,90.0,83.0,64.0,68.0,78.85714286,552,IDEPT7783,CDEEP
SID20132704,Sem_8,82.0,75.0,21.0,56.0,58.0,61.0,42.0,56.42857143,395,IDEPT7783,CDEEP
SID20133442,Sem_1,74.0,91.0,65.0,83.0,92.0,100.0,53.0,79.71428571,558,IDEPT7783,CDEEP
SID20133442,Sem_2,60.0,85.0,77.0,97.0,91.0,42.0,53.0,72.14285714,505,IDEPT7783,CDEEP
SID20133442,Sem_3,48.0,51.0,68.0,77.0,41.0,90.0,48.0,60.42857143,423,IDEPT7783,CDEEP
SID20133442,Sem_4,,54.0,84.0,87.0,41.0,95.0,54.0,69.16666667,415,IDEPT7783,CDEEP
SID20133442,Sem_5,46.0,72.0,74.0,76.0,72.0,70.0,61.0,67.28571429,471,IDEPT7783,CDEEP
SID20133442,Sem_6,79.0,69.0,95.0,95.0,56.0,83.0,79.0,79.42857143,556,IDEPT7783,CDEEP
SID20133442,Sem_7,98.0,97.0,75.0,47.0,96.0,43.0,76.0,76.0,532,IDEPT7783,CDEEP
SID20133442,Sem_8,71.0,40.0,55.0,85.0,71.0,70.0,79.0,67.28571429,471,IDEPT7783,CDEEP
SID20134894,Sem_1,86.0,97.0,55.0,92.0,95.0,86.0,78.0,84.14285714,589,IDEPT7783,CDEEP
SID20134894,Sem_2,79.0,55.0,70.0,91.0,43.0,,90.0,71.33333333,428,IDEPT7783,CDEEP
SID20134894,Sem_3,53.0,94.0,89.0,62.0,60.0,,56.0,69.0,414,IDEPT7783,CDEEP
SID20134894,Sem_4,90.0,97.0,83.0,94.0,71.0,78.0,53.0,80.85714286,566,IDEPT7783,CDEEP
SID20134894,Sem_5,40.0,40.0,51.0,73.0,52.0,47.0,70.0,53.28571429,373,IDEPT7783,CDEEP
SID20134894,Sem_6,83.0,88.0,26.0,70.0,75.0,78.0,67.0,69.57142857,487,IDEPT7783,CDEEP
SID20134894,Sem_7,70.0,94.0,79.0,88.0,59.0,86.0,91.0,81.0,567,IDEPT7783,CDEEP
SID20134894,Sem_8,97.0,95.0,58.0,59.0,61.0,97.0,64.0,75.85714286,531,IDEPT7783,CDEEP
SID20135169,Sem_1,69.0,75.0,60.0,97.0,78.0,81.0,61.0,74.42857143,521,IDEPT7783,CDEEP
SID20135169,Sem_2,66.0,87.0,83.0,,91.0,82.0,51.0,76.66666667,460,IDEPT7783,CDEEP
SID20135169,Sem_3,54.0,72.0,64.0,97.0,53.0,69.0,59.0,66.85714286,468,IDEPT7783,CDEEP
SID20135169,Sem_4,59.0,57.0,52.0,60.0,69.0,83.0,87.0,66.71428571,467,IDEPT7783,CDEEP
SID20135169,Sem_5,74.0,63.0,98.0,60.0,94.0,43.0,90.0,74.57142857,522,IDEPT7783,CDEEP
SID20135169,Sem_6,40.0,66.0,82.0,72.0,87.0,87.0,99.0,76.14285714,533,IDEPT7783,CDEEP
SID20135169,Sem_7,57.0,51.0,91.0,57.0,52.0,63.0,,61.83333333,371,IDEPT7783,CDEEP
SID20135169,Sem_8,43.0,86.0,86.0,68.0,85.0,99.0,40.0,72.42857143,507,IDEPT7783,CDEEP
SID20135623,Sem_1,59.0,75.0,57.0,53.0,63.0,51.0,64.0,60.28571429,422,IDEPT7783,CDEEP
SID20135623,Sem_2,65.0,93.0,50.0,79.0,88.0,56.0,77.0,72.57142857,508,IDEPT7783,CDEEP
SID20135623,Sem_3,61.0,45.0,55.0,100.0,64.0,78.0,98.0,71.57142857,501,IDEPT7783,CDEEP
SID20135623,Sem_4,93.0,50.0,40.0,43.0,92.0,77.0,46.0,63.0,441,IDEPT7783,CDEEP
SID20135623,Sem_5,58.0,97.0,52.0,51.0,47.0,86.0,64.0,65.0,455,IDEPT7783,CDEEP
SID20135623,Sem_6,87.0,55.0,91.0,52.0,64.0,63.0,56.0,66.85714286,468,IDEPT7783,CDEEP
SID20135623,Sem_7,90.0,79.0,76.0,88.0,85.0,61.0,62.0,77.28571429,541,IDEPT7783,CDEEP
SID20135623,Sem_8,52.0,90.0,45.0,66.0,56.0,61.0,67.0,62.42857143,437,IDEPT7783,CDEEP
SID20135672,Sem_1,69.0,49.0,83.0,45.0,80.0,47.0,83.0,65.14285714,456,IDEPT7783,CDEEP
SID20135672,Sem_2,98.0,43.0,75.0,91.0,90.0,40.0,47.0,69.14285714,484,IDEPT7783,CDEEP
SID20135672,Sem_3,62.0,46.0,70.0,86.0,70.0,49.0,97.0,68.57142857,480,IDEPT7783,CDEEP
SID20135672,Sem_4,99.0,59.0,64.0,47.0,62.0,74.0,56.0,65.85714286,461,IDEPT7783,CDEEP
SID20135672,Sem_5,60.0,53.0,49.0,88.0,48.0,49.0,99.0,63.71428571,446,IDEPT7783,CDEEP
SID20135672,Sem_6,41.0,56.0,44.0,83.0,80.0,19.0,90.0,59.0,413,IDEPT7783,CDEEP
SID20135672,Sem_7,97.0,95.0,77.0,52.0,88.0,91.0,61.0,80.14285714,561,IDEPT7783,CDEEP
SID20135672,Sem_8,93.0,87.0,94.0,73.0,,44.0,79.0,78.33333333,470,IDEPT7783,CDEEP
SID20136067,Sem_1,76.0,54.0,48.0,78.0,,83.0,66.0,67.5,405,IDEPT7783,CDEEP
SID20136067,Sem_2,55.0,67.0,56.0,80.0,67.0,79.0,74.0,68.28571429,478,IDEPT7783,CDEEP
SID20136067,Sem_3,67.0,44.0,87.0,50.0,59.0,64.0,69.0,62.85714286,440,IDEPT7783,CDEEP
SID20136067,Sem_4,51.0,98.0,92.0,68.0,97.0,85.0,48.0,77.0,539,IDEPT7783,CDEEP
SID20136067,Sem_5,66.0,95.0,92.0,92.0,93.0,75.0,86.0,85.57142857,599,IDEPT7783,CDEEP
SID20136067,Sem_6,41.0,72.0,88.0,,45.0,77.0,99.0,70.33333333,422,IDEPT7783,CDEEP
SID20136067,Sem_7,40.0,72.0,95.0,97.0,68.0,74.0,80.0,75.14285714,526,IDEPT7783,CDEEP
SID20136067,Sem_8,93.0,69.0,67.0,57.0,71.0,81.0,64.0,71.71428571,502,IDEPT7783,CDEEP
SID20136154,Sem_1,89.0,84.0,66.0,58.0,68.0,98.0,67.0,75.71428571,530,IDEPT7783,CDEEP
SID20136154,Sem_2,53.0,62.0,73.0,56.0,77.0,50.0,91.0,66.0,462,IDEPT7783,CDEEP
SID20136154,Sem_3,71.0,48.0,,50.0,78.0,88.0,89.0,70.66666667,424,IDEPT7783,CDEEP
SID20136154,Sem_4,41.0,59.0,59.0,92.0,71.0,55.0,79.0,65.14285714,456,IDEPT7783,CDEEP
SID20136154,Sem_5,72.0,58.0,96.0,42.0,53.0,95.0,,69.33333333,416,IDEPT7783,CDEEP
SID20136154,Sem_6,41.0,67.0,62.0,57.0,51.0,41.0,66.0,55.0,385,IDEPT7783,CDEEP
SID20136154,Sem_7,43.0,52.0,75.0,91.0,93.0,52.0,50.0,65.14285714,456,IDEPT7783,CDEEP
SID20136154,Sem_8,42.0,45.0,69.0,99.0,52.0,44.0,50.0,57.28571429,401,IDEPT7783,CDEEP
SID20137092,Sem_1,92.0,51.0,91.0,86.0,83.0,52.0,45.0,71.42857143,500,IDEPT7783,CDEEP
SID20137092,Sem_2,77.0,76.0,99.0,95.0,65.0,58.0,98.0,81.14285714,568,IDEPT7783,CDEEP
SID20137092,Sem_3,44.0,80.0,60.0,43.0,42.0,55.0,91.0,59.28571429,415,IDEPT7783,CDEEP
SID20137092,Sem_4,66.0,49.0,82.0,59.0,72.0,63.0,89.0,68.57142857,480,IDEPT7783,CDEEP
SID20137092,Sem_5,87.0,72.0,53.0,88.0,77.0,95.0,68.0,77.14285714,540,IDEPT7783,CDEEP
SID20137092,Sem_6,83.0,79.0,78.0,59.0,58.0,48.0,60.0,66.42857143,465,IDEPT7783,CDEEP
SID20137092,Sem_7,100.0,94.0,67.0,43.0,52.0,75.0,98.0,75.57142857,529,IDEPT7783,CDEEP
SID20137092,Sem_8,76.0,70.0,51.0,94.0,51.0,77.0,86.0,72.14285714,505,IDEPT7783,CDEEP
SID20137097,Sem_1,42.0,62.0,51.0,40.0,51.0,65.0,52.0,51.85714286,363,IDEPT7783,CDEEP
SID20137097,Sem_2,98.0,93.0,67.0,97.0,91.0,70.0,83.0,85.57142857,599,IDEPT7783,CDEEP
SID20137097,Sem_3,84.0,62.0,71.0,88.0,51.0,59.0,48.0,66.14285714,463,IDEPT7783,CDEEP
SID20137097,Sem_4,96.0,64.0,66.0,87.0,70.0,61.0,59.0,71.85714286,503,IDEPT7783,CDEEP
SID20137097,Sem_5,82.0,60.0,59.0,43.0,41.0,40.0,79.0,57.71428571,404,IDEPT7783,CDEEP
SID20137097,Sem_6,40.0,97.0,64.0,78.0,56.0,52.0,61.0,64.0,448,IDEPT7783,CDEEP
SID20137097,Sem_7,58.0,48.0,100.0,71.0,40.0,57.0,70.0,63.42857143,444,IDEPT7783,CDEEP
SID20137097,Sem_8,67.0,56.0,83.0,61.0,75.0,80.0,43.0,66.42857143,465,IDEPT7783,CDEEP
SID20137385,Sem_1,100.0,45.0,91.0,99.0,75.0,98.0,59.0,81.0,567,IDEPT7783,CDEEP
SID20137385,Sem_2,100.0,57.0,21.0,50.0,47.0,99.0,52.0,60.85714286,426,IDEPT7783,CDEEP
SID20137385,Sem_3,88.0,40.0,71.0,73.0,97.0,80.0,64.0,73.28571429,513,IDEPT7783,CDEEP
SID20137385,Sem_4,68.0,45.0,45.0,27.0,74.0,59.0,58.0,53.71428571,376,IDEPT7783,CDEEP
SID20137385,Sem_5,74.0,89.0,80.0,91.0,47.0,55.0,98.0,76.28571429,534,IDEPT7783,CDEEP
SID20137385,Sem_6,94.0,63.0,98.0,45.0,96.0,98.0,90.0,83.42857143,584,IDEPT7783,CDEEP
SID20137385,Sem_7,99.0,79.0,91.0,84.0,94.0,49.0,88.0,83.42857143,584,IDEPT7783,CDEEP
SID20137385,Sem_8,85.0,92.0,50.0,75.0,47.0,,56.0,67.5,405,IDEPT7783,CDEEP
SID20137424,Sem_1,95.0,56.0,80.0,79.0,86.0,69.0,49.0,73.42857143,514,IDEPT7783,CDEEP
SID20137424,Sem_2,77.0,92.0,41.0,50.0,47.0,77.0,41.0,60.71428571,425,IDEPT7783,CDEEP
SID20137424,Sem_3,63.0,86.0,,67.0,98.0,41.0,82.0,72.83333333,437,IDEPT7783,CDEEP
SID20137424,Sem_4,,80.0,73.0,67.0,40.0,99.0,53.0,68.66666667,412,IDEPT7783,CDEEP
SID20137424,Sem_5,99.0,53.0,86.0,51.0,77.0,92.0,81.0,77.0,539,IDEPT7783,CDEEP
SID20137424,Sem_6,56.0,44.0,55.0,98.0,83.0,97.0,72.0,72.14285714,505,IDEPT7783,CDEEP
SID20137424,Sem_7,72.0,70.0,55.0,91.0,85.0,78.0,68.0,74.14285714,519,IDEPT7783,CDEEP
SID20137424,Sem_8,71.0,56.0,79.0,44.0,73.0,83.0,87.0,70.42857143,493,IDEPT7783,CDEEP
SID20137473,Sem_1,66.0,52.0,48.0,54.0,72.0,63.0,99.0,64.85714286,454,IDEPT7783,CDEEP
SID20137473,Sem_2,86.0,60.0,53.0,54.0,85.0,63.0,65.0,66.57142857,466,IDEPT7783,CDEEP
SID20137473,Sem_3,95.0,86.0,69.0,71.0,84.0,59.0,84.0,78.28571429,548,IDEPT7783,CDEEP
SID20137473,Sem_4,77.0,59.0,73.0,98.0,73.0,63.0,84.0,75.28571429,527,IDEPT7783,CDEEP
SID20137473,Sem_5,95.0,62.0,92.0,81.0,47.0,44.0,46.0,66.71428571,467,IDEPT7783,CDEEP
SID20137473,Sem_6,60.0,41.0,50.0,73.0,68.0,68.0,,60.0,360,IDEPT7783,CDEEP
SID20137473,Sem_7,77.0,44.0,99.0,77.0,90.0,99.0,98.0,83.42857143,584,IDEPT7783,CDEEP
SID20137473,Sem_8,95.0,46.0,55.0,58.0,100.0,,,70.8,354,IDEPT7783,CDEEP
SID20137811,Sem_1,63.0,46.0,40.0,68.0,96.0,25.0,69.0,58.14285714,407,IDEPT7783,CDEEP
SID20137811,Sem_2,19.0,91.0,70.0,49.0,48.0,53.0,73.0,57.57142857,403,IDEPT7783,CDEEP
SID20137811,Sem_3,43.0,,85.0,69.0,70.0,66.0,86.0,69.83333333,419,IDEPT7783,CDEEP
SID20137811,Sem_4,59.0,53.0,82.0,46.0,82.0,91.0,58.0,67.28571429,471,IDEPT7783,CDEEP
SID20137811,Sem_5,98.0,59.0,93.0,95.0,45.0,69.0,64.0,74.71428571,523,IDEPT7783,CDEEP
SID20137811,Sem_6,58.0,53.0,54.0,83.0,71.0,44.0,80.0,63.28571429,443,IDEPT7783,CDEEP
SID20137811,Sem_7,71.0,79.0,66.0,50.0,78.0,61.0,62.0,66.71428571,467,IDEPT7783,CDEEP
SID20137811,Sem_8,69.0,65.0,41.0,95.0,50.0,65.0,57.0,63.14285714,442,IDEPT7783,CDEEP
SID20138509,Sem_1,95.0,59.0,74.0,80.0,40.0,52.0,91.0,70.14285714,491,IDEPT7783,CDEEP
SID20138509,Sem_2,81.0,50.0,84.0,78.0,83.0,53.0,75.0,72.0,504,IDEPT7783,CDEEP
SID20138509,Sem_3,90.0,73.0,93.0,87.0,86.0,52.0,75.0,79.42857143,556,IDEPT7783,CDEEP
SID20138509,Sem_4,49.0,41.0,52.0,83.0,61.0,86.0,58.0,61.42857143,430,IDEPT7783,CDEEP
SID20138509,Sem_5,83.0,97.0,92.0,81.0,63.0,94.0,91.0,85.85714286,601,IDEPT7783,CDEEP
SID20138509,Sem_6,66.0,70.0,77.0,100.0,68.0,92.0,65.0,76.85714286,538,IDEPT7783,CDEEP
SID20138509,Sem_7,61.0,95.0,95.0,93.0,74.0,91.0,89.0,85.42857143,598,IDEPT7783,CDEEP
SID20138509,Sem_8,49.0,59.0,87.0,92.0,61.0,45.0,63.0,65.14285714,456,IDEPT7783,CDEEP
SID20139904,Sem_1,98.0,75.0,89.0,94.0,46.0,73.0,68.0,77.57142857,543,IDEPT7783,CDEEP
SID20139904,Sem_2,55.0,52.0,58.0,92.0,77.0,51.0,64.0,64.14285714,449,IDEPT7783,CDEEP
SID20139904,Sem_3,78.0,88.0,57.0,86.0,49.0,62.0,53.0,67.57142857,473,IDEPT7783,CDEEP
SID20139904,Sem_4,71.0,90.0,74.0,64.0,42.0,74.0,42.0,65.28571429,457,IDEPT7783,CDEEP
SID20139904,Sem_5,68.0,54.0,45.0,90.0,59.0,96.0,86.0,71.14285714,498,IDEPT7783,CDEEP
SID20139904,Sem_6,64.0,69.0,50.0,89.0,21.0,52.0,91.0,62.28571429,436,IDEPT7783,CDEEP
SID20139904,Sem_7,89.0,57.0,,60.0,82.0,77.0,66.0,71.83333333,431,IDEPT7783,CDEEP
SID20139904,Sem_8,59.0,86.0,59.0,72.0,46.0,51.0,89.0,66.0,462,IDEPT7783,CDEEP
SID20141207,Sem_1,53.0,60.0,,83.0,68.0,96.0,53.0,68.83333333,413,IDEPT7783,CDEEP
SID20141207,Sem_2,68.0,49.0,54.0,44.0,53.0,60.0,96.0,60.57142857,424,IDEPT7783,CDEEP
SID20141207,Sem_3,61.0,62.0,42.0,57.0,78.0,95.0,82.0,68.14285714,477,IDEPT7783,CDEEP
SID20141207,Sem_4,63.0,42.0,95.0,94.0,45.0,55.0,85.0,68.42857143,479,IDEPT7783,CDEEP
SID20141207,Sem_5,88.0,51.0,81.0,90.0,74.0,60.0,63.0,72.42857143,507,IDEPT7783,CDEEP
SID20141207,Sem_6,81.0,46.0,96.0,69.0,55.0,94.0,92.0,76.14285714,533,IDEPT7783,CDEEP
SID20141207,Sem_7,83.0,80.0,65.0,41.0,59.0,52.0,58.0,62.57142857,438,IDEPT7783,CDEEP
SID20141207,Sem_8,96.0,43.0,75.0,40.0,88.0,74.0,61.0,68.14285714,477,IDEPT7783,CDEEP
SID20141292,Sem_1,52.0,82.0,54.0,61.0,80.0,95.0,83.0,72.42857143,507,IDEPT7783,CDEEP
SID20141292,Sem_2,54.0,51.0,78.0,96.0,80.0,56.0,83.0,71.14285714,498,IDEPT7783,CDEEP
SID20141292,Sem_3,60.0,69.0,99.0,79.0,99.0,49.0,64.0,74.14285714,519,IDEPT7783,CDEEP
SID20141292,Sem_4,,75.0,88.0,84.0,67.0,91.0,94.0,83.16666667,499,IDEPT7783,CDEEP
SID20141292,Sem_5,65.0,89.0,61.0,55.0,52.0,59.0,99.0,68.57142857,480,IDEPT7783,CDEEP
SID20141292,Sem_6,46.0,90.0,99.0,51.0,93.0,57.0,55.0,70.14285714,491,IDEPT7783,CDEEP
SID20141292,Sem_7,95.0,72.0,66.0,44.0,56.0,71.0,80.0,69.14285714,484,IDEPT7783,CDEEP
SID20141292,Sem_8,55.0,42.0,42.0,85.0,71.0,88.0,86.0,67.0,469,IDEPT7783,CDEEP
SID20141514,Sem_1,82.0,73.0,71.0,53.0,,68.0,68.0,69.16666667,415,IDEPT7783,CDEEP
SID20141514,Sem_2,61.0,59.0,47.0,23.0,43.0,99.0,95.0,61.0,427,IDEPT7783,CDEEP
SID20141514,Sem_3,93.0,89.0,64.0,60.0,98.0,68.0,76.0,78.28571429,548,IDEPT7783,CDEEP
SID20141514,Sem_4,64.0,67.0,72.0,87.0,62.0,40.0,73.0,66.42857143,465,IDEPT7783,CDEEP
SID20141514,Sem_5,50.0,58.0,64.0,40.0,73.0,78.0,50.0,59.0,413,IDEPT7783,CDEEP
SID20141514,Sem_6,54.0,65.0,62.0,68.0,60.0,86.0,88.0,69.0,483,IDEPT7783,CDEEP
SID20141514,Sem_7,42.0,91.0,93.0,81.0,79.0,90.0,78.0,79.14285714,554,IDEPT7783,CDEEP
SID20141514,Sem_8,94.0,41.0,61.0,,49.0,77.0,74.0,66.0,396,IDEPT7783,CDEEP
SID20142455,Sem_1,75.0,71.0,77.0,78.0,80.0,68.0,82.0,75.85714286,531,IDEPT7783,CDEEP
SID20142455,Sem_2,48.0,54.0,92.0,63.0,41.0,81.0,84.0,66.14285714,463,IDEPT7783,CDEEP
SID20142455,Sem_3,77.0,61.0,19.0,65.0,79.0,58.0,56.0,59.28571429,415,IDEPT7783,CDEEP
SID20142455,Sem_4,96.0,77.0,83.0,89.0,100.0,87.0,83.0,87.85714286,615,IDEPT7783,CDEEP
SID20142455,Sem_5,57.0,80.0,82.0,88.0,64.0,47.0,91.0,72.71428571,509,IDEPT7783,CDEEP
SID20142455,Sem_6,100.0,86.0,67.0,50.0,90.0,48.0,64.0,72.14285714,505,IDEPT7783,CDEEP
SID20142455,Sem_7,67.0,70.0,87.0,97.0,68.0,83.0,51.0,74.71428571,523,IDEPT7783,CDEEP
SID20142455,Sem_8,95.0,48.0,40.0,52.0,65.0,69.0,53.0,60.28571429,422,IDEPT7783,CDEEP
SID20142798,Sem_1,52.0,86.0,74.0,41.0,90.0,96.0,64.0,71.85714286,503,IDEPT7783,CDEEP
SID20142798,Sem_2,59.0,70.0,41.0,86.0,99.0,97.0,42.0,70.57142857,494,IDEPT7783,CDEEP
SID20142798,Sem_3,56.0,73.0,86.0,65.0,98.0,97.0,95.0,81.42857143,570,IDEPT7783,CDEEP
SID20142798,Sem_4,97.0,58.0,91.0,64.0,74.0,95.0,73.0,78.85714286,552,IDEPT7783,CDEEP
SID20142798,Sem_5,41.0,68.0,42.0,70.0,51.0,48.0,64.0,54.85714286,384,IDEPT7783,CDEEP
SID20142798,Sem_6,85.0,50.0,76.0,79.0,84.0,51.0,82.0,72.42857143,507,IDEPT7783,CDEEP
SID20142798,Sem_7,99.0,68.0,47.0,85.0,75.0,53.0,50.0,68.14285714,477,IDEPT7783,CDEEP
SID20142798,Sem_8,65.0,94.0,23.0,82.0,62.0,47.0,50.0,60.42857143,423,IDEPT7783,CDEEP
SID20143111,Sem_1,98.0,49.0,93.0,55.0,100.0,68.0,48.0,73.0,511,IDEPT7783,CDEEP
SID20143111,Sem_2,81.0,40.0,75.0,99.0,98.0,88.0,62.0,77.57142857,543,IDEPT7783,CDEEP
SID20143111,Sem_3,63.0,,97.0,88.0,78.0,74.0,46.0,74.33333333,446,IDEPT7783,CDEEP
SID20143111,Sem_4,63.0,44.0,93.0,55.0,86.0,66.0,96.0,71.85714286,503,IDEPT7783,CDEEP
SID20143111,Sem_5,67.0,61.0,46.0,52.0,96.0,81.0,81.0,69.14285714,484,IDEPT7783,CDEEP
SID20143111,Sem_6,63.0,41.0,73.0,84.0,74.0,56.0,73.0,66.28571429,464,IDEPT7783,CDEEP
SID20143111,Sem_7,60.0,86.0,52.0,42.0,80.0,29.0,66.0,59.28571429,415,IDEPT7783,CDEEP
SID20143111,Sem_8,100.0,76.0,95.0,100.0,43.0,89.0,63.0,80.85714286,566,IDEPT7783,CDEEP
SID20143128,Sem_1,80.0,46.0,79.0,68.0,23.0,55.0,29.0,54.28571429,380,IDEPT7783,CDEEP
SID20143128,Sem_2,88.0,,100.0,89.0,74.0,49.0,79.0,79.83333333,479,IDEPT7783,CDEEP
SID20143128,Sem_3,89.0,54.0,97.0,55.0,89.0,68.0,40.0,70.28571429,492,IDEPT7783,CDEEP
SID20143128,Sem_4,41.0,77.0,69.0,42.0,70.0,50.0,83.0,61.71428571,432,IDEPT7783,CDEEP
SID20143128,Sem_5,61.0,58.0,83.0,45.0,86.0,54.0,89.0,68.0,476,IDEPT7783,CDEEP
SID20143128,Sem_6,95.0,88.0,92.0,66.0,53.0,71.0,47.0,73.14285714,512,IDEPT7783,CDEEP
SID20143128,Sem_7,76.0,65.0,57.0,46.0,99.0,99.0,98.0,77.14285714,540,IDEPT7783,CDEEP
SID20143128,Sem_8,51.0,62.0,97.0,95.0,73.0,46.0,100.0,74.85714286,524,IDEPT7783,CDEEP
SID20143243,Sem_1,60.0,88.0,74.0,71.0,80.0,79.0,,75.33333333,452,IDEPT7783,CDEEP
SID20143243,Sem_2,86.0,61.0,64.0,89.0,45.0,57.0,43.0,63.57142857,445,IDEPT7783,CDEEP
SID20143243,Sem_3,58.0,64.0,97.0,40.0,83.0,69.0,85.0,70.85714286,496,IDEPT7783,CDEEP
SID20143243,Sem_4,41.0,98.0,48.0,41.0,100.0,61.0,91.0,68.57142857,480,IDEPT7783,CDEEP
SID20143243,Sem_5,90.0,,82.0,67.0,44.0,64.0,84.0,71.83333333,431,IDEPT7783,CDEEP
SID20143243,Sem_6,75.0,74.0,94.0,56.0,97.0,54.0,90.0,77.14285714,540,IDEPT7783,CDEEP
SID20143243,Sem_7,81.0,41.0,69.0,80.0,49.0,85.0,57.0,66.0,462,IDEPT7783,CDEEP
SID20143243,Sem_8,78.0,73.0,56.0,40.0,87.0,67.0,79.0,68.57142857,480,IDEPT7783,CDEEP
SID20143917,Sem_1,49.0,66.0,83.0,54.0,92.0,85.0,55.0,69.14285714,484,IDEPT7783,CDEEP
SID20143917,Sem_2,47.0,75.0,94.0,51.0,62.0,60.0,74.0,66.14285714,463,IDEPT7783,CDEEP
SID20143917,Sem_3,48.0,41.0,80.0,52.0,81.0,76.0,73.0,64.42857143,451,IDEPT7783,CDEEP
SID20143917,Sem_4,71.0,81.0,98.0,96.0,91.0,49.0,45.0,75.85714286,531,IDEPT7783,CDEEP
SID20143917,Sem_5,83.0,89.0,87.0,55.0,63.0,49.0,55.0,68.71428571,481,IDEPT7783,CDEEP
SID20143917,Sem_6,96.0,98.0,49.0,80.0,82.0,79.0,43.0,75.28571429,527,IDEPT7783,CDEEP
SID20143917,Sem_7,67.0,57.0,60.0,55.0,71.0,40.0,74.0,60.57142857,424,IDEPT7783,CDEEP
SID20143917,Sem_8,97.0,75.0,84.0,82.0,,67.0,85.0,81.66666667,490,IDEPT7783,CDEEP
SID20146424,Sem_1,65.0,44.0,89.0,52.0,87.0,62.0,46.0,63.57142857,445,IDEPT7783,CDEEP
